번호,시간,회사명,종목코드,공시제목,제출인,접수일자
152,13:26,부산산업,011390,사외이사의선임ㆍ해임또는중도퇴임에관한신고,부산산업,2020-03-27
151,13:24,신원,009270,정기주주총회결과,신원,2020-03-27
150,13:23,일진홀딩스,015860,정기주주총회결과,일진홀딩스,2020-03-27
149,13:23,부산산업,011390,정기주주총회결과,부산산업,2020-03-27
148,13:22,일진홀딩스,015860,사외이사의선임ㆍ해임또는중도퇴임에관한신고,일진홀딩스,2020-03-27
147,13:22,이화산업,000760,정기주주총회결과,이화산업,2020-03-27
146,13:22,휴스틸,005010,임원ㆍ주요주주특정증권등소유상황보고서,박상훈,2020-03-27
145,13:21,CJ CGV,079160,투자판단 관련 주요경영사항,씨제이씨지브이,2020-03-27
144,13:20,엔케이,085310,대표이사(대표집행임원) 변경(안내공시),엔케이,2020-03-27
143,13:19,엔케이,085310,[연결포함]사업보고서(일반법인),엔케이,2020-03-27
142,13:18,GS,078930,최대주주등소유주식변동신고서,GS,2020-03-27
141,13:17,이스타코,015020,정기주주총회결과,이스타코,2020-03-27
140,13:17,미원홀딩스,107590,최대주주등소유주식변동신고서,미원홀딩스,2020-03-27
139,13:16,휴스틸,005010,임원ㆍ주요주주특정증권등소유상황보고서,박훈,2020-03-27
138,13:15,웅진,016880,사외이사의선임ㆍ해임또는중도퇴임에관한신고,웅진,2020-03-27
137,13:14,롯데쇼핑,023530,임원ㆍ주요주주특정증권등소유상황보고서,이선대,2020-03-27
136,13:10,삼성생명,032830,임원ㆍ주요주주특정증권등소유상황보고서,고상희,2020-03-27
135,13:10,삼익THK,004380,임원ㆍ주요주주특정증권등소유상황보고서,전영배,2020-03-27
134,13:09,한국항공우주,047810,정기주주총회결과,한국항공우주산업,2020-03-27
133,13:08,웅진,016880,정기주주총회결과,웅진,2020-03-27
132,13:07,조광페인트,004910,[정정]정기주주총회결과,조광페인트,2020-03-27
131,13:07,한국석유공업,004090,정기주주총회결과,한국석유공업,2020-03-27
130,13:07,케이티,030200,임원ㆍ주요주주특정증권등소유상황보고서,최호창,2020-03-27
129,13:05,세방,004360,정기주주총회결과,세방,2020-03-27
128,13:04,삼성증권,016360,투자설명서[일괄신고-사채],삼성증권,2020-03-27
127,13:02,케이티,030200,임원ㆍ주요주주특정증권등소유상황보고서,유용규,2020-03-27
126,13:02,카프로,006380,사업보고서(일반법인),카프로,2020-03-27
125,13:00,롯데쇼핑,023530,임원ㆍ주요주주특정증권등소유상황보고서,정윤성,2020-03-27
124,12:59,삼성증권,016360,투자설명서[일괄신고-사채],삼성증권,2020-03-27
123,12:57,엔케이,085310,정기주주총회결과,엔케이,2020-03-27
122,12:57,대원강업,000430,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대원강업,2020-03-27
121,12:57,대원강업,000430,정기주주총회결과,대원강업,2020-03-27
120,12:57,케이티,030200,임원ㆍ주요주주특정증권등소유상황보고서,지정용,2020-03-27
119,12:52,조광페인트,004910,정기주주총회결과[정],조광페인트,2020-03-27
118,12:51,삼성증권,016360,투자설명서[일괄신고-사채],삼성증권,2020-03-27
117,12:51,케이티,030200,임원ㆍ주요주주특정증권등소유상황보고서,이종식,2020-03-27
116,12:51,대원강업,000430,최대주주등소유주식변동신고서,대원강업,2020-03-27
115,12:48,CS홀딩스,000590,대표이사(대표집행임원) 변경(안내공시),CS 홀딩스,2020-03-27
114,12:47,조일알미늄,018470,임원ㆍ주요주주특정증권등소유상황보고서,조광,2020-03-27
113,12:46,유니퀘스트,077500,사외이사의선임ㆍ해임또는중도퇴임에관한신고,유니퀘스트,2020-03-27
112,12:45,조일알미늄,018470,임원ㆍ주요주주특정증권등소유상황보고서,이재섭,2020-03-27
111,12:40,롯데쇼핑,023530,임원ㆍ주요주주특정증권등소유상황보고서,이재옥,2020-03-27
110,12:38,에스제이엠,123700,정기주주총회결과,에스제이엠,2020-03-27
109,12:38,유니퀘스트,077500,정기주주총회결과,유니퀘스트,2020-03-27
108,12:34,서울식품공업,004410,사외이사의선임ㆍ해임또는중도퇴임에관한신고,서울식품공업,2020-03-27
107,12:32,서울식품공업,004410,사외이사의선임ㆍ해임또는중도퇴임에관한신고,서울식품공업,2020-03-27
106,12:32,동서,026960,[연결포함]사업보고서(일반법인),동서,2020-03-27
105,12:28,CS홀딩스,000590,사외이사의선임ㆍ해임또는중도퇴임에관한신고,CS 홀딩스,2020-03-27
104,12:27,CS홀딩스,000590,사외이사의선임ㆍ해임또는중도퇴임에관한신고,CS 홀딩스,2020-03-27
103,12:26,인디에프,014990,사외이사의선임ㆍ해임또는중도퇴임에관한신고,인디에프,2020-03-27
102,12:26,에스제이엠홀딩스,025530,정기주주총회결과,에스제이엠홀딩스,2020-03-27
101,12:22,인디에프,014990,사외이사의선임ㆍ해임또는중도퇴임에관한신고,인디에프,2020-03-27
100,12:20,CS홀딩스,000590,사외이사의선임ㆍ해임또는중도퇴임에관한신고,CS 홀딩스,2020-03-27
99,12:19,대양금속,009190,정기주주총회결과,대양금속,2020-03-27
98,12:18,롯데쇼핑,023530,임원ㆍ주요주주특정증권등소유상황보고서,김혜영,2020-03-27
97,12:18,인디에프,014990,최대주주등소유주식변동신고서,인디에프,2020-03-27
96,12:17,인디에프,014990,정기주주총회결과,인디에프,2020-03-27
95,12:17,CS홀딩스,000590,정기주주총회결과,CS 홀딩스,2020-03-27
94,12:16,에이엔피,015260,사외이사의선임ㆍ해임또는중도퇴임에관한신고,에이엔피,2020-03-27
93,12:16,동성제약,002210,정기주주총회결과,동성제약,2020-03-27
92,12:15,에이엔피,015260,정기주주총회결과,에이엔피,2020-03-27
91,12:14,서울식품공업,004410,정기주주총회결과,서울식품공업,2020-03-27
90,12:13,이월드,084680,[정정]투자판단 관련 주요경영사항,이월드,2020-03-27
89,12:13,조선선재,120030,대표이사(대표집행임원) 변경(안내공시),조선선재,2020-03-27
88,12:13,남선알미늄,008350,정기주주총회결과,남선알미늄,2020-03-27
87,12:12,대양금속,009190,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대양금속,2020-03-27
86,12:11,동서,026960,최대주주등소유주식변동신고서,동서,2020-03-27
85,12:11,지역난방공사,071320,정기주주총회결과,한국지역난방공사,2020-03-27
84,12:11,조선선재,120030,사외이사의선임ㆍ해임또는중도퇴임에관한신고,조선선재,2020-03-27
83,12:11,이월드,084680,정기주주총회결과,이월드,2020-03-27
82,12:10,금호에이치티,214330,[정정]투자판단 관련 주요경영사항,금호에이치티,2020-03-27
81,12:10,조선선재,120030,사외이사의선임ㆍ해임또는중도퇴임에관한신고,조선선재,2020-03-27
80,12:10,동서,026960,임원ㆍ주요주주특정증권등소유상황보고서,김종희,2020-03-27
79,12:08,조선선재,120030,사외이사의선임ㆍ해임또는중도퇴임에관한신고,조선선재,2020-03-27
78,12:07,대창단조,015230,정기주주총회결과,대창단조,2020-03-27
77,12:06,조선선재,120030,정기주주총회결과,조선선재,2020-03-27
76,11:54,해성디에스,195870,대표이사(대표집행임원) 변경(안내공시),해성디에스,2020-03-27
75,11:49,금호에이치티,214330,최대주주등소유주식변동신고서(최대주주변경시),금호에이치티,2020-03-27
74,11:48,해성디에스,195870,최대주주등소유주식변동신고서,해성디에스,2020-03-27
73,11:46,금호에이치티,214330,최대주주변경,금호에이치티,2020-03-27
72,11:45,미창석유공업,003650,정기주주총회결과,미창석유공업,2020-03-27
71,11:43,AK홀딩스,006840,정기주주총회결과,AK홀딩스,2020-03-27
70,11:42,삼성증권,016360,[연결포함]일괄신고추가서류(기타파생결합사채),삼성증권,2020-03-27
69,11:37,백광산업,001340,사외이사의선임ㆍ해임또는중도퇴임에관한신고,백광산업,2020-03-27
68,11:37,해성디에스,195870,사외이사의선임ㆍ해임또는중도퇴임에관한신고,해성디에스,2020-03-27
67,11:36,토니모리,214420,사외이사의선임ㆍ해임또는중도퇴임에관한신고,토니모리,2020-03-27
66,11:34,토니모리,214420,사외이사의선임ㆍ해임또는중도퇴임에관한신고,토니모리,2020-03-27
65,11:34,백광산업,001340,정기주주총회결과,백광산업,2020-03-27
64,11:32,유한양행,000100,임원ㆍ주요주주특정증권등소유상황보고서,박동진,2020-03-27
63,11:31,토니모리,214420,사외이사의선임ㆍ해임또는중도퇴임에관한신고,토니모리,2020-03-27
62,11:30,해성디에스,195870,사외이사의선임ㆍ해임또는중도퇴임에관한신고,해성디에스,2020-03-27
61,11:29,진흥기업,002780,정기주주총회결과,진흥기업,2020-03-27
60,11:29,아이에이치큐,003560,정기주주총회결과,아이에이치큐,2020-03-27
59,11:29,해성디에스,195870,사외이사의선임ㆍ해임또는중도퇴임에관한신고,해성디에스,2020-03-27
58,11:29,롯데쇼핑,023530,임원ㆍ주요주주특정증권등소유상황보고서,이일용,2020-03-27
57,11:29,삼성증권,016360,[연결포함]일괄신고추가서류(파생결합사채-주가연계파생결합사채),삼성증권,2020-03-27
56,11:27,삼성증권,016360,[연결포함]일괄신고추가서류(기타파생결합증권),삼성증권,2020-03-27
55,11:26,대성홀딩스,016710,정기주주총회결과,대성홀딩스,2020-03-27
54,11:26,해성디에스,195870,정기주주총회결과,해성디에스,2020-03-27
53,11:26,화승엔터프라이즈,241590,정기주주총회결과,화승엔터프라이즈,2020-03-27
52,11:26,메리츠종금증권,008560,투자설명서[일괄신고-사채],메리츠종합금융증권,2020-03-27
51,11:26,토니모리,214420,정기주주총회결과,토니모리,2020-03-27
50,11:21,이건산업,008250,정기주주총회결과,이건산업,2020-03-27
49,11:21,롯데쇼핑,023530,임원ㆍ주요주주특정증권등소유상황보고서,정원호,2020-03-27
48,11:19,메리츠종금증권,008560,[연결포함]일괄신고추가서류(파생결합사채-주가연계파생결합사채),메리츠종합금융증권,2020-03-27
47,11:19,대창,012800,자기주식취득 신탁계약 체결 결정,대창,2020-03-27
46,11:19,대성홀딩스,016710,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대성홀딩스,2020-03-27
45,11:18,텔코웨어,078000,정기주주총회결과,텔코웨어,2020-03-27
44,11:16,키위미디어그룹,012170,임원ㆍ주요주주특정증권등소유상황보고서,케이엠인터네셔날,2020-03-27
43,11:07,대성에너지,117580,정기주주총회결과,대성에너지,2020-03-27
42,11:06,키위미디어그룹,012170,주식등의대량보유상황보고서(일반),케이엠인터네셔날,2020-03-27
41,11:04,AK홀딩스,006840,주식매수선택권부여에관한신고,AK홀딩스,2020-03-27
40,10:59,두올,016740,정기주주총회결과(제37기 정기주주총회 ),두올,2020-03-27
39,10:56,삼성엔지니어링,028050,임원ㆍ주요주주특정증권등소유상황보고서,박보수,2020-03-27
38,10:54,키위미디어그룹,012170,임원ㆍ주요주주특정증권등소유상황보고서,이제트가이드,2020-03-27
37,10:53,동성화학,005190,[정정]자기주식취득 신탁계약 체결 결정,동성화학,2020-03-27
36,10:48,키위미디어그룹,012170,주식등의대량보유상황보고서(일반),이제트가이드,2020-03-27
35,10:37,선도전기,007610,정기주주총회결과,선도전기,2020-03-27
34,10:35,현대홈쇼핑,057050,주식등의대량보유상황보고서(약식),Yacktman Asset Management LP,2020-03-27
33,10:32,대림씨엔에스,004440,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대림씨엔에스,2020-03-27
32,10:31,대림비앤코,005750,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대림비앤코,2020-03-27
31,10:30,대한제분,001130,최대주주등소유주식변동신고서,대한제분,2020-03-27
30,10:28,하이스틸,071090,[연결포함]사업보고서(일반법인),하이스틸,2020-03-27
29,10:27,대림비앤코,005750,정기주주총회결과,대림비앤코,2020-03-27
28,10:24,환인제약,016580,[연결포함]사업보고서(일반법인),환인제약,2020-03-27
27,10:09,전방,000950,정기주주총회결과,전방,2020-03-27
26,10:05,인지컨트롤스,023800,정기주주총회결과,인지컨트롤스,2020-03-27
25,9:59,대한제강,084010,[연결포함]사업보고서(일반법인),대한제강,2020-03-27
24,9:57,전방,000950,사외이사의선임ㆍ해임또는중도퇴임에관한신고,전방,2020-03-27
23,9:45,키위미디어그룹,012170,임원ㆍ주요주주특정증권등소유상황보고서,퍼시픽산업,2020-03-27
22,9:42,키위미디어그룹,012170,주식등의대량보유상황보고서(일반),퍼시픽산업,2020-03-27
21,9:40,SK텔레콤,017670,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤,2020-03-27
20,9:37,한화솔루션,009830,임원ㆍ주요주주특정증권등소유상황보고서,이병천,2020-03-27
19,9:32,경동나비엔,009450,[연결포함]사업보고서(일반법인),경동나비엔,2020-03-27
18,9:26,한화솔루션,009830,임원ㆍ주요주주특정증권등소유상황보고서,임원배,2020-03-27
17,9:22,한익스프레스,014130,최대주주등소유주식변동신고서,한익스프레스,2020-03-27
16,8:49,LG이노텍,011070,임원ㆍ주요주주특정증권등소유상황보고서,문혁수,2020-03-27
15,8:33,쎌마테라퓨틱스,015540,타법인 주식 및 출자증권 양수결정,쎌마테라퓨틱스,2020-03-27
14,8:33,쎌마테라퓨틱스,015540,타법인 주식 및 출자증권 양수결정,쎌마테라퓨틱스,2020-03-27
13,8:32,KC그린홀딩스,009440,[정정]주주총회소집결의,케이씨그린홀딩스,2020-03-27
12,7:47,현대모비스,012330,[정정]타법인주식및출자증권취득결정(자율공시),현대모비스,2020-03-27
11,7:44,동성화학,005190,자기주식 취득 결정,동성화학,2020-03-27
10,7:41,대우조선해양,042660,[정정]단일판매ㆍ공급계약체결,대우조선해양,2020-03-27
9,7:41,기아자동차,000270,[정정]타법인주식및출자증권취득결정(자율공시),기아자동차,2020-03-27
8,7:40,현대자동차,005380,[정정]타법인주식및출자증권취득결정(자율공시),현대자동차,2020-03-27
7,7:30,한진칼,180640,임원ㆍ주요주주특정증권등소유상황보고서,유한회사 그레이스홀딩스,2020-03-26
6,7:30,동성화학,005190,[정정]자기주식취득 신탁계약 체결 결정[정],동성화학,2020-03-26
5,7:30,한진,002320,임원ㆍ주요주주특정증권등소유상황보고서,유한회사 엔케이앤코홀딩스,2020-03-26
4,7:30,한진,002320,주식등의대량보유상황보고서(일반),유한회사 엔케이앤코홀딩스,2020-03-26
3,7:30,NICE,034310,주식등의대량보유상황보고서(약식),아프로파이낸셜대부,2020-03-26
2,7:30,코오롱플라스틱,138490,임원ㆍ주요주주특정증권등소유상황보고서,방민수,2020-03-26
1,7:30,서연,007860,[정정]참고서류,서연,2020-03-26
