번호,시간,회사명,종목코드,공시제목,제출인,접수일자
124,11:31,흥구석유,024060,정기주주총회결과,흥구석유,2020-03-27
125,11:31,윈스,136540,임원ㆍ주요주주특정증권등소유상황보고서,김대연,2020-03-27
126,11:31,아이오케이,078860,사외이사의선임ㆍ해임또는중도퇴임에관한신고,아이오케이컴퍼니,2020-03-27
127,11:32,세코닉스,053450,정기주주총회결과,세코닉스,2020-03-27
128,11:35,에스티아이,039440,정기주주총회결과,에스티아이,2020-03-27
129,11:35,어보브반도체,102120,[연결포함]사업보고서(일반법인),어보브반도체,2020-03-27
130,11:37,플랜티넷,075130,주식매수선택권부여에관한신고,플랜티넷,2020-03-27
131,11:38,인포바인,115310,정기주주총회결과,인포바인,2020-03-27
132,11:38,HRS,036640,정기주주총회결과,에이치알에스,2020-03-27
133,11:38,유니테스트,086390,정기주주총회결과,유니테스트,2020-03-27
134,11:38,에이테크솔루션,071670,사외이사의선임ㆍ해임또는중도퇴임에관한신고,에이테크솔루션,2020-03-27
135,11:38,팬스타엔터프라이즈,054300,주식매수선택권부여에관한신고,팬스타엔터프라이즈,2020-03-27
136,11:39,노터스,278650,본점소재지변경,노터스,2020-03-27
137,11:39,아이오케이,078860,전환가액의조정(제9회차),아이오케이컴퍼니,2020-03-27
138,11:39,블루콤,033560,정기주주총회결과,블루콤,2020-03-27
139,11:39,파마리서치프로덕트,214450,[연결포함]사업보고서(일반법인),파마리서치프로덕트,2020-03-27
140,11:39,아이오케이,078860,정기주주총회결과,아이오케이컴퍼니,2020-03-27
141,11:39,안국약품,001540,[정정]자기주식취득 신탁계약 체결 결정,안국약품,2020-03-27
142,11:40,에이테크솔루션,071670,사외이사의선임ㆍ해임또는중도퇴임에관한신고,에이테크솔루션,2020-03-27
143,11:41,디자인,227100,[연결포함]사업보고서(일반법인),디자인,2020-03-27
144,11:42,TS인베스트먼트,246690,정기주주총회결과,티에스인베스트먼트,2020-03-27
145,11:42,삼기오토모티브,122350,임원ㆍ주요주주특정증권등소유상황보고서,임우택,2020-03-27
146,11:42,대유,290380,임원ㆍ주요주주특정증권등소유상황보고서,권옥술,2020-03-27
147,11:43,에이에프더블류,312610,정기주주총회결과,에이에프더블류,2020-03-27
148,11:43,한국선재,025550,정기주주총회결과,한국선재,2020-03-27
149,11:43,키네마스터,139670,정기주주총회결과,키네마스터,2020-03-27
150,11:45,링네트,042500,정기주주총회결과,링네트,2020-03-27
151,11:46,한국선재,025550,사외이사의선임ㆍ해임또는중도퇴임에관한신고,한국선재,2020-03-27
152,11:49,삼기오토모티브,122350,주식등의대량보유상황보고서(일반),김치환,2020-03-27
153,11:51,형지I&C,011080,임원ㆍ주요주주특정증권등소유상황보고서,최병오,2020-03-27
154,11:51,보라티알,250000,정기주주총회결과,보라티알,2020-03-27
155,11:51,나이스디앤비,130580,사외이사의선임ㆍ해임또는중도퇴임에관한신고,나이스디앤비,2020-03-27
156,11:52,윌링스,313760,정기주주총회결과,윌링스,2020-03-27
157,11:52,NHN벅스,104200,정기주주총회결과,엔에이치엔벅스,2020-03-27
158,11:53,레드로버,060300,[연결포함]사업보고서(일반법인),레드로버,2020-03-27
159,12:02,레드로버,060300,임원ㆍ주요주주특정증권등소유상황보고서,김종문,2020-03-27
160,12:26,대화제약,067080,임원ㆍ주요주주특정증권등소유상황보고서,문형진,2020-03-27
161,12:28,큐브엔터,182360,사외이사의선임ㆍ해임또는중도퇴임에관한신고,큐브엔터테인먼트,2020-03-27
162,12:30,포스코엠텍,009520,임원ㆍ주요주주특정증권등소유상황보고서,성회윤,2020-03-27
163,12:34,대화제약,067080,임원ㆍ주요주주특정증권등소유상황보고서,장준희,2020-03-27
164,12:35,삼기오토모티브,122350,임원ㆍ주요주주특정증권등소유상황보고서,구혜영,2020-03-27
165,12:42,삼기오토모티브,122350,임원ㆍ주요주주특정증권등소유상황보고서,김치환,2020-03-27
166,12:50,메디톡스,086900,임원ㆍ주요주주특정증권등소유상황보고서,양기혁,2020-03-27
167,12:53,메디톡스,086900,임원ㆍ주요주주특정증권등소유상황보고서,정현호,2020-03-27
168,12:56,케이엔더블유,105330,정기주주총회결과,케이엔더블유,2020-03-27
169,12:58,바른테크놀로지,029480,[정정]전환사채권발행결정(제31회차),바른테크놀로지,2020-03-27
170,13:00,링네트,042500,사외이사의선임ㆍ해임또는중도퇴임에관한신고,링네트,2020-03-27
171,13:01,오픈베이스,049480,정기주주총회결과,오픈베이스,2020-03-27
172,13:05,아이엘사이언스,307180,임원ㆍ주요주주특정증권등소유상황보고서,송성근,2020-03-27
173,13:06,이노테라피,246960,정기주주총회결과,이노테라피,2020-03-27
174,13:07,SK4호스팩,307070,정기주주총회결과,에스케이에이씨피씨제4호기업인수목적,2020-03-27
175,13:07,재영솔루텍,049630,정기주주총회결과,재영솔루텍,2020-03-27
176,13:09,정상제이엘에스,040420,[연결포함]사업보고서(일반법인),정상제이엘에스,2020-03-27
177,13:11,삼지전자,037460,정기주주총회결과,삼지전자,2020-03-27
178,13:12,휴비츠,065510,주식매수선택권부여에관한신고,휴비츠,2020-03-27
179,13:13,에이텍,045660,사업보고서(일반법인),에이텍,2020-03-27
180,13:14,경동제약,011040,전환가액의조정,경동제약,2020-03-27
181,13:15,DB금융스팩7호,322780,정기주주총회결과,디비금융제7호기업인수목적,2020-03-27
182,13:15,SK5호스팩,337450,정기주주총회결과,에스케이제5호기업인수목적,2020-03-27
183,13:18,에스코넥,096630,[연결포함]사업보고서(일반법인),에스코넥,2020-03-27
184,13:21,로체시스템즈,071280,[연결포함]사업보고서(일반법인),로체시스템즈,2020-03-27
185,13:21,하이셈,200470,전환가액의조정(제2회차),하이셈,2020-03-27
186,13:24,솔브레인,036830,[연결포함]사업보고서(일반법인),솔브레인,2020-03-27
187,13:24,대신밸런스제6호스팩,307750,사업보고서(일반법인),대신밸런스제6호기업인수목적,2020-03-27
188,13:25,한국큐빅,021650,[연결포함]사업보고서(일반법인),한국큐빅,2020-03-27
189,13:26,캠시스,050110,[정정]자기주식 처분 결정,캠시스,2020-03-27
190,13:26,슈펙스비앤피,058530,정기주주총회결과,슈펙스비앤피,2020-03-27
191,13:27,이노테라피,246960,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이노테라피,2020-03-27
192,13:28,윈스,136540,[연결포함]사업보고서(일반법인),윈스,2020-03-27
193,13:28,라파스,214260,정기주주총회결과,라파스,2020-03-27
194,13:30,한국정보공학,039740,정기주주총회결과,한국정보공학,2020-03-27
195,13:31,와이엔텍,067900,정기주주총회결과,와이엔텍,2020-03-27
196,13:31,라파스,214260,사외이사의선임ㆍ해임또는중도퇴임에관한신고,라파스,2020-03-27
197,13:34,대신밸런스제7호스팩,332290,사업보고서(일반법인),대신밸런스제7호기업인수목적,2020-03-27
198,13:35,랩지노믹스,084650,정기주주총회결과,랩지노믹스,2020-03-27
199,13:36,명성티엔에스,257370,[정정]정기주주총회결과([기제사항정정]정기주주총회결과),명성티엔에스,2020-03-27
200,13:36,캐스텍코리아,071850,정기주주총회결과,캐스텍코리아,2020-03-27
201,13:38,조이맥스,101730,정기주주총회결과,조이맥스,2020-03-27
202,13:38,APS홀딩스,054620,정기주주총회결과,에이피에스홀딩스,2020-03-27
203,13:38,에스티오,098660,정기주주총회결과,㈜에스티오,2020-03-27
204,13:39,켐트로스,220260,정기주주총회결과,켐트로스,2020-03-27
